cepett,cepat,,apaa,apa,,mahad,mahad,,amanaman,aman aman,,rekom,rekomendasi
cepettt,cepat,,apaaa,apa,,minded,minded,,anakanakdan,anak anak dan,,sasing,sastra inggris
cepettttt,cepat,,apaaaa,apa,,mindmap,minmap,,angkatanku,angkatan ku,,sekjurr,sekjur
chatingan,chattingan,,apalgi,apalagi,,munaqosah,munaqosah,,apa2,apa apa,,sll,selalu
dambakan,dambakan,,arabb,arab,,munaqosyah,munaqosah,,apaapa,apa apa,,semaf,sema f
dapetnya,dapat nya,,arraniry,arraniry,,murobbi,murobbi,,apakabar,apa kabar,,sikom,si kom
dateng,datang,,asikkk,asik,,murojaah,murojaah,,asliihuh,asli huh,,ttd,tandatangan
denger,dengar,,asyikkk,asik,,mutazilah,mutazilah,,ayahapa,ayah apa,,tbtb,tiba tiba
dibatasin,dibatasi,,ayoo,ayo,,openbook,openbook,,binggris,bahasa inggris,,tokped,tokopedia
dibocorin,dibocorkan,,ayooo,ayo,,prewed,prewedding,,bandingku,banding ku,,uinsgdacid,uin sgd ac id
bolehin,dibolehkan,,ayoooo,ayo,,prewedd,prewedding,,bandungaamin,bandung amin,,uinsk,uin sk
dicatet,dicatat,,ayooooo,ayo,,produktifitas,produktivitas,,bangkunya,bangku nya,,ukmhmj,ukm hmj
diceritain,diceritakan,,azizzzz,aziz,,recomenn,rekomendasi,,bangmil,bangmil,,umptkinsbmptn,umptkin sbmptn
digratisin,digratiskan,,bagiaan,bagian,,recommend,rekomendasi,,banyak2,banyak banyak,,,
diinfoin,diinformasikan,,banggga,bangga,,rekomended,rekomendasi,,baruzoom,baru zoom,,,
dijadiin,dijadikan,,banyaaakkk,banyak,,relate,relate,,bedabeda,beda beda,,,
dikumpulin,dikumpulkan,,banyaakkkkk,banyak,,rewatch,rewatch,,bekerjaberkeluargamampu,bekerja berkeluarga,,,
dimajuin,dimajukan,,bapaa,bapak,,selamar,sekamar,,benar2,benar benar,,,
dipajuin,dimajukan,,bapakkk,bapak,,siasah,siasah,,bergadang,bergadang,,,
dimintain,dimintai,,bbrp,beberapa,,supercool,supercool,,berliterasi,berliterasi,,,
diobrolin,diobrolkan,,bdg,bandung,,takhrij,takhrij,,berprestasiaamiinn,berprestasi amin,,,
dipake,dipakai,,becanda,bercanda,,understandable,understandable,,bertanya2,bertanya tanya,,,
direkomendasiin,direkomendasikan,,belumm,belum,,unofficial,unofficial,,berwenangterkait,berwenang terkait,,,
disatuin,disatukan,,berkahh,berkah,,wisudawati,wisudawati,,besoknyav,besok nya,,,
disebutin,disebutkan,,berpretasi,berprestasi,,,,,biasamaju,biasa maju,,,
ditinggalin,ditinggalkan,,bersinarrrrr,bersinar,,,,,biasanyakaget,biasanya kaget,,,
dituker,ditukar,,bertnya,bertanya,,,,,bimbinganku,bimbingan ku,,,
doain,doakan,,besamaan,bersamaan,,,,,sabi2,bisa bisa,,,
dulubener,dulu benar,,betullll,betul,,,,,bisabisanya,bisa bisa nya,,,
duluann,duluan,,biasaa,biasa,,,,,bisakan,bisa kan,,,
fotoin,fotokan,,bingungg,bangung,,,,,bismillaahirrahmaanirrahiimsemoga,bismillahirrahmanirrahim semoga,,,
gapyer,gapyear,,biooo,bio,,,,,bolela,boleh lah,,,
gasssss,gas,,bisaaa,bisa,,,,,bucketnya,bucket nya,,,
gercep,gerak cepat,,bisalah,bisalah,,,,,buketnya,buket nya,,,
godibeg,godibeg,,bnyk,banyak,,,,,centernya,center nya,,,
gugurin,gugurkan,,bolehh,boleh,,,,,cianjurku,cianjur ku,,,
anget,hangat,,bombaii,bombai,,,,,cianjuruntuk,cianjur untuk,,,
kudunya,harusnya,,brapa,berapa,,,,,cita2,cita cita,,,
ijoo,hijau,,brlaku,berlaku,,,,,corlanya,corla nya,,,
hore,hore,,brmanfaat,bermanfaat,,,,,covid19,covid 19,,,
hormatngadain,hormat mengadakan,,brpa,berapa,,,,,cuancuan,cuan cuan,,,
ngikut,ikut,,brrti,berarti,,,,,cukup12,cukup 12,,,
infoo,informasi,,brs,beres,,,,,daftarbismillah,daftar bismillah,,,
ingfo,informasi,,buanyakkkk,banyak,,,,,daftarny,daftar nya,,,
inpo,informasi,,bukaaannnnnn,bukan,,,,,daftarya,daftar nya,,,
inget,ingat,,bulllllat,bulat,,,,,dai2ulama,dai dai ulama,,,
ingetin,ingatkan,,bundaaa,bunda,,,,,darahuin,darah uin,,,
pinginnn,ingin,,bunntar,bu sebentar,,,,,demagogis,demagogis,,,
jadiin,jadikan,,byk,banyak,,,,,denger2,dengar dengar,,,
klau,kalau,,caiir,cair,,,,,desakdesakan,desak desakan,,,
klu,kalau,,cairr,cair,,,,,designnya,design nya,,,
kalopun,kalaupun,,cairrr,cair,,,,,dibales,dibalas,,,
kleannn,kalian,,calonnnn,calon,,,,,dibalasnya,dibalas nya,,,
ngampus,kampus,,cepiiii,cepi,,,,,dibotol,dibotol,,,
kesian,kasihan,,cikaaaaa,cika,,,,,didekor,didekor,,,
kyk,kayak,,colongan,ke colongan,,,,,didukungg,didukung,,,
kegedean,kebesaran,,daftarrrr,daftar,,,,,diendorse,diendorse,,,
keduluan,keduluan,,daftr,daftar,,,,,difollow,difollow,,,
kmrn,kemarin,,daptar,daftar,,,,,dipoto,difoto,,,
kereeeennn,keren,,dekt,dekat,,,,,digendung,digedung,,,
kereeen,keren,,depn,depan,,,,,dighosting,dighosting,,,
kereeennn,keren,,dftr,daftar,,,,,dighostingggg,dighosting,,,
kereen,keren,,dicita,di cita,,,,,diinfokan,diinformasikan,,,
kereenn,keren,,diluncurkam,diluncurkan,,,,,dijwb,dijawab,,,
kereennn,keren,,dinii,dini,,,,,dikeep,dikeep,,,
kereennnnn,keren,,dipindahin,dipindahkan,,,,,dikolom,dikolom,,,
kereh,keren,,ditaa,dita,,,,,dikte2,dikte dikte,,,
kerenn,keren,,djelaskan,dijelaskan,,,,,dman,dimana,,,
kerennn,keren,,dlu,dulu,,,,,dimanamana,dimana mana,,,
kerennnn,keren,,dluan,duluan,,,,,dinesjid,dimesjid,,,
kerennnnn,keren,,dmn,dimana,,,,,dipikiran,dipikiran,,,
kerennnnnnnn,keren,,dmna,dimana,,,,,dipromisikan,dipromosikan,,,
kerenssssss,keren,,dngn,dengan,,,,,disalam,disalam,,,
kewreenn,keren,,doany,doa nya,,,,,disanaaamiin,disana amin,,,
kewren,keren,,dptkan,dapatkan,,,,,disegerakan,disegerakan,,,
kewrennn,keren,,dtg,datang,,,,,ditag,ditag,,,
kesel,kesal,,dtng,datang,,,,,diup,diup,,,
kumpulin,kumpulkan,,duarrrr,duar,,,,,diverfikasi,diverifikasi,,,
kuranginn,kurangi,,erikaa,erika,,,,,dosadosanya,dosa dosanya,,,
lwt,lewat,,fahmiiii,fahmi,,,,,dosen2nya,dosen dosennya,,,
maapp,maaf,,fanii,fani,,,,,dosenku,dosen ku,,,
maloeee,malu,,firaaa,fira,,,,,dosenkuu,dosen ku,,,
malueee,malu,,firaaaaaa,fira,,,,,drakornya,drakor nya,,,
mantapppp,mantap,,fto,foto,,,,,drivenya,drive nya,,,
mantebbbb,mantap,,gasss,gas,,,,,dua2nya,dua duanya,,,
mastiin,memastikan,,gasssssss,gas,,,,,duniakuu,dunia ku,,,
ngebahas,membahas,,gayaaa,gaya,,,,,edukasinya,edukasi nya,,,
ngebangun,membangun,,genapp,genap,,,,,evaluasian,evaluasi an,,,
ngebosenin,membosankan,,ghinaa,ghina,,,,,fasilitasfasilitas,fasilitas fasilitas,,,
ngebuka,membuka,,giamna,bagaimana,,,,,favoritunggul,favorit unggul,,,
mindahin,memindahkan,,gimna,bagaimana,,,,,firdausnya,firdaus nya,,,
minjem,meminjam,,gmn,bagaimana,,,,,foto2,foto foto,,,
narii,menari,,gmna,bagaimana,,,,,gapyear,gap year,,,
nyantumin,mencantumkan,,hahahahaa,haha,,,,,generasi2,generasi generasi,,,
nyntumin,mencantumkan,,halooo,halo,,,,,gingsulnya,gingsul nya,,,
nyariiii,mencari,,hariii,hari,,,,,gladinya,gladi nya,,,
ngedadak,mendadak,,hatii,hati,,,,,gotot2,gotot gotot,,,
dapetin,mendapatkan,,hrganya,harga nya,,,,,grup2,grup grup,,,
ngedapetin,mendapatkan,,hrus,harus,,,,,h60,h 60,,,
mending,mending,,idolaaa,idola,,,,,hseminggu,h seminggu,,,
nemenin,menemani,,iiyaa,iya,,,,,hafalnya,hafal nya,,,
nerima,menerima,,indahh,indah,,,,,halhal,hal hal,,,
ngadain,mengadakan,,infokan,informasikan,,,,,harih,hari h,,,
ngajuin,mengajukan,,infony,informasi nya,,,,,hatihati,hati hati,,,
ngalamin,mengalami,,ingiinn,ingin,,,,,hebatkusemoga,hebat ku semoga,,,
ngambil,mengambil,,iniii,ini,,,,,idungnya,hidung nya,,,
ngamuk,mengamuk,,iriii,ini,,,,,hijabflubatuk,hijab flu batuk,,,
ngasih,mengasih,,itung,hitung,,,,,hijabfluburung,hijab flu burung,,,
ngikutin,mengikuti,,iyaaa,iya,,,,,hijauhijau,hijau hijau,,,
nginjek,menginjak,,iyaaaaaa,iya,,,,,himpunannya,himpunan nya,,,
ngirim,mengirim,,jadii,jadi,,,,,hoki2an,hoki hokian,,,
ngobrolin,mengobrolkan,,jalann,jalan,,,,,horrorthriller,horror thriller,,,
ngomongin,mengobrolkan,,jauhh,jauh,,,,,hypnoterapi,hypnoterapi,,,
obrolin,mengobrolkan,,jayaaaaaa,jaya,,,,,ipaips,iap ips,,,
nguatin,menguatkan,,jdi,jadi,,,,,ihsannya,ihsan nya,,,
ngulang,mengulang,,jdnya,jadinya,,,,,ikhlasnya,ikhlas nya,,,
nungguin,mengunggu,,jelasin,jelaskan,,,,,indahkan,indahkan,,,
ngurusin,mengurusi,,jgaaa,juga,,,,,indoneptune,indoneptune,,,
ningkatin,meningkatkan,,jngan,jangan,,,,,infonya,informasi nya,,,
ngelulusin,menluluskan,,jngn,jangan,,,,,informasinyatrauma,informasi nya trauma,,,
nolak,menolak,,jugaa,juga,,,,,informatifnya,informatif nya,,,
numpuk,menumpuk,,jugaaa,juga,,,,,instagramhub,instagram hub,,,
nyakitin,menyakitkan,,jugaak,juga,,,,,ignya,instagram nya,,,
nyebrang,menyebrang,,jugak,juga,,,,,ipknya,ipk nya,,,
nyepelein,menyepelekan,,jurisan,jurusan,,,,,islamislamnya,islam islam nya,,,
nyewa,menyewa,,jwb,jawab,,,,,jajarannyaterimakasih,jajaran nya terimakasih,,,
nyiapin,menyiapkan,,jya,jaya,,,,,jauh2,jauh jauh,,,
nyimak,menyimak,,kaakkkk,kak,,,,,jauhjauh,jauh jauh,,,
nyimaq,menyimak,,kakk,kak,,,,,jodohnyaaa,jodoh nya,,,
nyuarain,menyuarakan,,kakkk,kak,,,,,jodohy,jodoh nya,,,
nyusahin,menyusahkan,,kaliann,kalian,,,,,jurusanfakultas,jurusan fakultas,,,
nyusul,menyusul,,kaliii,kali,,,,,jurusanukm,jurusan ukm,,,
ngerasa,merasa,,kampuss,kampus,,,,,kakpolisi,kak polisi,,,
ngrekomdasiin,merekomendasikan,,kampuus,kampus,,,,,kali2,kali kali,,,
minkyk,min kayak,,kampyuss,kampus,,,,,kampushrs,kampus harus,,,
monmaap,mohon maaf,,kamuu,kamu,,,,,kampusku,kampus ku,,,
nikahan,nikahan,,kamuuu,kamu,,,,,katnya,katanya,,,
nyeseg,nyesek,,kanh,kang,,,,,ke4,ke 4,,,
nyesek,nyesek,,kannn,kan,,,,,ke88,ke 88,,,
nyesekkk,nyesek,,kapann,kapan,,,,,ke89,ke 89,,,
padet,padat,,karfu,kartu,,,,,ke90,ke 90,,,
pakee,pakai,,kawand,kawan,,,,,ke91,ke 91,,,
pke,pakai,,kebangga,kebanggaan,,,,,ke92,ke 92,,,
pinjem,pinjam,,kelass,kelas,,,,,keambil,ke ambil,,,
minjemnya,pinjam nya,,kelasss,kelas,,,,,kebayang,ke bayang,,,
promosiin,promosikan,,keliatan,kelihatan,,,,,keberikutnya,ke berikut nya,,,
rasain,rasakan,,kemenaaaggggggg,kemenag,,,,,keberhasilan2,keberhasilan keberhasilan,,,
rekomen,rekomendasi,,kemeneg,kemenag,,,,,kehujanannn,kehujanan,,,
ampe,sampai,,kemna,kemana,,,,,kekecilan,kekecilan,,,
smpe,sampai,,kenapaa,kenapa,,,,,kelasmu,kelas mu,,,
sbgi,sebagai,,kendaraanan,kendaraan,,,,,kelasruangan,kelas ruangan,,,
segede,sebesar,,kerasa,terasa,,,,,kelompok2,kelompok kelompok,,,
mangatseeee,semangat,,kesna,kesana,,,,,kemudahanaamiin,kemudahan amin,,,
mogaaa,semoga,,kesorot,kesorot,,,,,kepilih,kepilih,,,
kyaknya,sepertinya,,keterima,keterima,,,,,kestarinya,kestari nya,,,
serem,seram,,ketigaaa,ketiga,,,,,ketawan,ketawan,,,
se7,setuju,,kitaa,kita,,,,,ketemunya,ketemu nya,,,
siapin,siapkan,,kitaaa,kita,,,,,kisahkisah,kisah kisah,,,
udaha,sudah,,klw,kalau,,,,,kitanya,kita nya,,,
udahh,sudah,,kmbali,kembali,,,,,kitatuh,kita tuh,,,
udh,sudah,,kmna,kemana,,,,,kitabmu,kitab mu,,,
tambahin,tambahkan,,kmpus,kampus,,,,,kondangannya,kondangan nya,,,
nannya,tanya,,kmrin,kemarin,,,,,kondangannyaa,kondangan nya,,,
nanyaa,tanya,,kmu,kamu,,,,,konfirmasinya,konfirmasi nya,,,
nanyain,tanyakan,,knapa,kenapa,,,,,krsan,krs an,,,
tanyain,tanyakan,,knp,kenapa,,,,,kulinya,kuli nya,,,
tawarin,tawarkan,,knpa,kenapa,,,,,lagimohon,lagi mohon,,,
keciduk,terciduk,,krna,karena,,,,,linknya,link nya,,,
keinget,teringat,,kuliahh,kuliah,,,,,mahasiswaijin,mahasiswa ijin,,,
ngaret,terlambat,,kuotaaaa,kuota,,,,,mahasiswamahasiswa,mahasiswa mahasiswa,,,
teroosss,terus,,kuuuuu,ku,,,,,mahasiswai,mahasiswa mahasiswi,,,
kagak,tidak,,kuuuuuu,ku,,,,,mahasiswamahasiswi,mahasiswa mahasiswi,,,
gaakan,tidak akan,,lagii,lagi,,,,,majiidprodi,majid prodi,,,
gabisa,tidak bisa,,lagiii,lagi,,,,,makananminuman,makanan minuman,,,
gabutuh,tidak butuh,,lanjuttt,lanjut,,,,,malemnya,malam nya,,,
gadapet,tidak dapat,,lariii,lari,,,,,males2an,malas malasan,,,
gakuaaatttt,tidak kuat,,lgi,lagi,,,,,mandirinya,mandiri nya,,,
gamau,tidak mau,,lgsg,langsung,,,,,mantapbarakallahwilujeng,mantap barakallah,,,
gapaham,tidak paham,,lngsng,langsung,,,,,mantapphebat,mantap hebat,,,
gapernah,tidak pernah,,lngsung,langsung,,,,,marathonnya,marathon nya,,,
gasabarrrrr,tidak sabar,,lsg,langsung,,,,,mbanking,mbanking,,,
gaksalah,tidak salah,,lulusann,lulusan,,,,,ngepostnyaa,mempost nya,,,
gasalah,tidak salah,,luluss,lulus,,,,,menagkemenag,menag kemenag,,,
gaseru,tidak seru,,lupaa,lupa,,,,,menantimu,menantimu,,,
gatau,tidak tau,,maap,maaf,,,,,mendengung,mendengung,,,
gatawu,tidak tau,,maceeet,macet,,,,,nerimanya,menerima nya,,,
gausa,tidak usah,,macem,macam,,,,,ngambilnya,mengambil nya,,,
gausah,tidak usah,,macettt,macet,,,,,menginfokan,menginformasikan,,,
nitip,titip,,magistr,magister,,,,,ngurusnya,mengurusi nya,,,
nitpp,titip,,mahaiswa,mahasiswa,,,,,mesjidnya,mesjid nya,,,
tuker,tukar,,majuu,maju,,,,,minbikin,min bikin,,,
turunin,turunkan,,makasi,makasih,,,,,minbisa,min bisa,,,
urusin,urusi,,makasih,makasih,,,,,mingapyear,min gapyear,,,
waaaawkereeen,waw keren,,makasihh,makasih,,,,,minkaya,min kayak,,,
wujudin,wujudkan,,makasii,makasih,,,,,minmau,min mau,,,
yaudah,ya sudah,,makasiih,makasih,,,,,minterus,min terus,,,
,,,makasiiih,makasih,,,,,mintanya,minta nya,,,
,,,makasiiiiihhhh,makasih,,,,,mudah2an,mudah mudahan,,,
,,,maksihhh,makasih,,,,,mudahmudahan,mudah mudahan,,,
,,,manaa,mana,,,,,mudh2n,mudah mudahan,,,
,,,mancap,mantap,,,,,muudaah2an,mudah mudahan,,,
,,,mangats,semangat,,,,,mudahkan,mudahkan,,,
,,,mantaaaaap,mantap,,,,,mudahkanlancarkankabulkan,mudahkan lancarkan kabulkan,,,
,,,mantaap,mantap,,,,,muhammadsuatu,muhammad suatu,,,
,,,mantaapp,mantap,,,,,muji2,muji muji,,,
,,,mantapp,mantap,,,,,mukannya,muka nya,,,
,,,mantappp,mantap,,,,,munaqasyahnya,munaqosah nya,,,
,,,mantaps,mantap,,,,,munaqosyahnya,munaqosah nya,,,
,,,maretttt,maret,,,,,naikan,naikan,,,
,,,mauuuuu,mau,,,,,ngampusnya,ngampus nya,,,
,,,megganggu,mengganggu,,,,,nikahankeknya,nikahan kek nya,,,
,,,meledakkkkk,meledak,,,,,nikahannya,nikahan nya,,,
,,,meledaks,meledak,,,,,no7,no 7,,,
,,,memaaang,memang,,,,,no8,no 8,,,
,,,menemepuh,menempuh,,,,,officialnya,official nya,,,
,,,mengerikaaan,mengerikan,,,,,oflinewisuda,ofline wisuda,,,
,,,mengsedih,mensedih,,,,,online2020,online 2020,,,
,,,menyemangat,menyemangati,,,,,orgmahasiswa,orang mahasiswa,,,
,,,mhsiswa,mahasiswa,,,,,pagipagi,pagi pagi,,,
,,,miiinnn,min,,,,,paketan,paketan,,,
,,,miin,min,,,,,panasac,panas ac,,,
,,,minn,min,,,,,panutanku,panutan ku,,,
,,,minnn,min,,,,,parapemenang,para pemenang,,,
,,,minnnn,min,,,,,parkirannya,parkiran nya,,,
,,,minv,min,,,,,pastinyaa,pasti nya,,,
,,,mkst,maksud,,,,,pejabatmah,pejabat mah,,,
,,,mnaa,mana,,,,,pelit2,pelit pelit,,,
,,,mnta,minta,,,,,pemerintahpejabat,pemerintah pejabat,,,
,,,muncuullll,muncul,,,,,pendaftarnya,pendaftar nya,,,
,,,ngaberaantass,memberantas,,,,,pendaftarnnya,pendaftaran nya,,,
,,,ngewibu,memwibu,,,,,pendanaanya,pendanaan nya,,,
,,,nikahanv,nikahan,,,,,penjalurannya,penjaluran nya,,,
,,,nmor,nomor,,,,,percepat,percepat,,,
,,,nnati,menanti,,,,,perfakultas,perfakultas,,,
,,,nnti,nanti,,,,,perjurnalanku,perjunalan ku,,,
,,,nntn,nonton,,,,,perjurusan,perjurusan,,,
,,,nnton,nonton,,,,,permahal,permahal,,,
,,,nnyaaa,tanya,,,,,peruinan,peruinan,,,
,,,noprii,nomor pribadi,,,,,pinjamnya,pinjam nya,,,
,,,nular,menular,,,,,pojokpojokan,pojok pojokan,,,
,,,nunggg,menunggu,,,,,pokoknyaaa,pokok nya,,,
,,,nyaa,nya,,,,,prnya,pr nya,,,
,,,nyaaa,nya,,,,,pranknya,prank nya,,,
,,,nyamar,menyamar,,,,,prewednya,prewedding nya,,,
,,,nyoba,mencoba,,,,,pricelistnyaa,pricelist nya,,,
,,,oiya,oh iya,,,,,prioritaskan,prioritaskan,,,
,,,pakkk,pak,,,,,privasinya,privasi nya,,,
,,,pakultas,fakultas,,,,,putrian,putrian,,,
,,,panassss,panas,,,,,quotesnya,quotes nya,,,
,,,parahh,parah,,,,,rajiunselamat,rajiun selamat,,,
,,,parahhh,parah,,,,,repatnya,rapat nya,,,
,,,pastiii,pasti,,,,,raportnya,raport nya,,,
,,,pdhal,padahal,,,,,rektorku,rektor ku,,,
,,,pdhl,padahal,,,,,rezekinyabisa,rezeki nya bisa,,,
,,,pemdaftaran,pendaftaran,,,,,rifqimkasih,rifqi makasih,,,
,,,pendaftran,pendaftaran,,,,,rizkinya,rizki nya,,,
,,,pendftrn,pendaftaran,,,,,robbalalaminbangga,robbalalamin bangga,,,
,,,pengisisian,pengisian,,,,,s2s3,s2 s3,,,
,,,penuhhhhh,penuh,,,,,sabtuminggu,sabtu minggu,,,
,,,perguruang,perguruan,,,,,samasama,sama sama,,,
,,,permudah,permudah,,,,,sampaisampai,sampai sampai,,,
,,,perpanjangg,perpanjang,,,,,saudarasaydara,saudara saudara,,,
,,,pesen,pesan,,,,,sebesarbesarnya,sebesar besarnya,,,
,,,piaud,paud,,,,,securitynya,security nya,,,
,,,piraaa,pira,,,,,sedalamdalamnya,sedalam dalamnya,,,
,,,pkonya,pokok nya,,,,,segerakan,segerakan,,,
,,,pnya,punya,,,,,sehat2,sehat sehat,,,
,,,pokonya,pokok nya,,,,,sejurusan,sejurusan,,,
,,,pribdi,pribadi,,,,,sekatang2,sekatang sekatang,,,
,,,produktippp,produktif,,,,,sekjurkuuu,sekjur ku,,,
,,,progr,program,,,,,sekolahsemoga,sekolah semoga,,,
,,,psti,pasti,,,,,selucu,selucu,,,
,,,qadang,kadang,,,,,semuadari,semua dari,,,
,,,ratuu,ratu,,,,,semuanyadoanyaaamiin,semua nya doa nya,,,
,,,realisasikan,realisasikan,,,,,seninsabtu,senin sabtu,,,
,,,referenso,referensi,,,,,senyumanmu,senyuman mu,,,
,,,rekomendasii,rekomendasi,,,,,sepemikiran,sepemikiran,,,
,,,riin,rin,,,,,sertifnya,sertifikat nya,,,
,,,rjin,rajin,,,,,seru2nya,seru seru nya,,,
,,,sabarr,sabar,,,,,shalihnya,shalih nya,,,
,,,sadarr,sadar,,,,,shootingnya,shooting nya,,,
,,,saia,saya,,,,,sipaling,si paling,,,
,,,sayaaangg,sayang,,,,,sipalinggggg,si paling,,,
,,,sayangggg,sayang,,,,,siasia,sia sia,,,
,,,sbelah,sebelah,,,,,siaap2,siap siap,,,
,,,sblh,sebelah,,,,,sinyalmu,sinyal mu,,,
,,,sdah,sudah,,,,,skripsian,skripsi an,,,
,,,seblm,sebelum,,,,,skripsiku,skripsi ku,,,
,,,secaran,secara,,,,,softfile,soft file,,,
,,,sedihhh,sedih,,,,,specipiknya,spesifik nya,,,
,,,sekedr,sekedar,,,,,spot2,spot spot,,,
,,,sekrg,sekarang,,,,,streamnya,stream nya,,,
,,,sekrng,sekarang,,,,,stramingnya,streaming nya,,,
,,,selamaat,selamat,,,,,supportnya,support nya,,,
,,,selamaatt,selamat,,,,,swtaamiin,swt amin,,,
,,,selamattt,selamat,,,,,syukurku,syukur ku,,,
,,,selamatttt,selamat,,,,,taunya,tahu nya,,,
,,,selamatttttt,selamat,,,,,taunnya,tahun nya,,,
,,,selnjutnya,selanjutnya,,,,,tahuntahun,tahun tahun,,,
,,,semangaaatttt,semangat,,,,,nampaknya,tampak nya,,,
,,,semangaat,semangat,,,,,tglnya,tanggal nya,,,
,,,semangattttt,semangat,,,,,nanyaanak,tanya anak,,,
,,,semogaa,semoga,,,,,tanya2,tanya tanya,,,
,,,semogaaa,semoga,,,,,tapikan,tapi kan,,,
,,,sempet,sempat,,,,,tataboga,tataboga,,,
,,,semster,semester,,,,,teganya,tega nya,,,
,,,semuaa,semua,,,,,telatbagaimana,telah bagaimana,,,
,,,semuaaa,semua,,,,,temankalau,teman kalau,,,
,,,sendiriii,sendiri,,,,,temennya,teman nya,,,
,,,sepii,sepi,,,,,temen2,teman teman,,,
,,,seruuuu,seru,,,,,tementemen,teman teman,,,
,,,setujuu,setuju,,,,,tempatmu,tempat mu,,,
,,,sgla,segala,,,,,tengahtengah,tengah tengah,,,
,,,siaaaap,siap,,,,,terakhiran,terakhiran,,,
,,,siaaap,siap,,,,,terombangambing,terombangambing,,,
,,,siaaappppp,siap,,,,,tersindir,tersindir,,,
,,,siapp,siap,,,,,terusudh,terus sudah,,,
,,,siappp,siap,,,,,tetehhkuu,teteh ku,,,
,,,siapppp,siap,,,,,tetehku,teteh ku,,,
,,,silatuhrahmi,silaturahmi,,,,,tetehnya,teteh nya,,,
,,,sklh,sekolah,,,,,tthnya,teteh nya,,,
,,,skolah,sekolah,,,,,tibatba,tiba tiba,,,
,,,slamattt,selamat,,,,,tibatiba,tiba tiba,,,
,,,slh,salah,,,,,galink,tidak link,,,
,,,smakin,semakin,,,,,gasanggup,tidak sanggup,,,
,,,smangat,semangat,,,,,toganya,toga nya,,,
,,,smga,semoga,,,,,tokotoko,toko toko,,,
,,,smngattt,semangat,,,,,nontonnya,tonton nya,,,
,,,smngt,semangat,,,,,transfaran,transferan,,,
,,,smoga,semoga,,,,,traumahealing,trauma healing,,,
,,,sndri,sendiri,,,,,uinhehe,uin hehe,,,
,,,spertinya,sepertinya,,,,,uiniainstain,uin iain stain,,,
,,,speti,seperti,,,,,uinku,uin ku,,,
,,,suaan,suaan,,,,,uinkuh,uin ku,,,
,,,suaranyaaaa,suara nya,,,,,uinkuuuuu,uin ku,,,
,,,suhuuuuu,suhu,,,,,uinnya,uin nya,,,
,,,sukaa,suka,,,,,uwinnya,uin nya,,,
,,,sukaaaa,suka,,,,,uinsgd,uin sgd,,,
,,,susahh,susah,,,,,uinsgdofficial,uin sgd official,,,
,,,syelamat,selamat,,,,,uinsuka,uin suka,,,
,,,syifaa,syifa,,,,,ujiannnya,ujian nya,,,
